dataset_id,table_id
app_agg_auxiliary_tables_prod,l180d_country_nested_1
app_agg_auxiliary_tables_prod,l180d_country_nested_2
app_agg_auxiliary_tables_prod,l180d_country_nested_3
app_agg_auxiliary_tables_prod,l180d_nested_metrics
app_agg_auxiliary_tables_prod,l30d_country_nested_1
app_agg_auxiliary_tables_prod,l30d_country_nested_2
app_agg_auxiliary_tables_prod,l30d_country_nested_3
app_agg_auxiliary_tables_prod,l30d_nested_metrics
app_agg_auxiliary_tables_prod,l365d_country_nested_1
app_agg_auxiliary_tables_prod,l365d_country_nested_2
app_agg_auxiliary_tables_prod,l365d_country_nested_3
app_agg_auxiliary_tables_prod,l365d_nested_metrics
app_agg_auxiliary_tables_prod,l730d_country_nested_1
app_agg_auxiliary_tables_prod,l730d_country_nested_2
app_agg_auxiliary_tables_prod,l730d_country_nested_3
app_agg_auxiliary_tables_prod,l730d_nested_metrics
app_agg_auxiliary_tables_prod,l7d_country_nested_1
app_agg_auxiliary_tables_prod,l7d_country_nested_2
app_agg_auxiliary_tables_prod,l7d_country_nested_3
app_agg_auxiliary_tables_prod,l7d_nested_metrics
app_agg_auxiliary_tables_prod,l90d_country_nested_1
app_agg_auxiliary_tables_prod,l90d_country_nested_2
app_agg_auxiliary_tables_prod,l90d_country_nested_3
app_agg_auxiliary_tables_prod,l90d_nested_metrics
app_agg_auxiliary_tables_prod,ld_country_nested_1
app_agg_auxiliary_tables_prod,ld_country_nested_2
app_agg_auxiliary_tables_prod,ld_country_nested_3
app_agg_auxiliary_tables_prod,ld_nested_metrics
app_agg_auxiliary_tables_prod,m01_2017_country_nested_1
app_agg_auxiliary_tables_prod,m01_2017_country_nested_2
app_agg_auxiliary_tables_prod,m01_2017_country_nested_3
app_agg_auxiliary_tables_prod,m01_2017_nested_metrics
app_agg_auxiliary_tables_prod,m01_2018_country_nested_1
app_agg_auxiliary_tables_prod,m01_2018_country_nested_2
app_agg_auxiliary_tables_prod,m01_2018_country_nested_3
app_agg_auxiliary_tables_prod,m01_2018_nested_metrics
app_agg_auxiliary_tables_prod,m01_2019_country_nested_1
app_agg_auxiliary_tables_prod,m01_2019_country_nested_2
app_agg_auxiliary_tables_prod,m01_2019_country_nested_3
app_agg_auxiliary_tables_prod,m01_2019_nested_metrics
app_agg_auxiliary_tables_prod,m01_2020_country_nested_1
app_agg_auxiliary_tables_prod,m01_2020_country_nested_2
app_agg_auxiliary_tables_prod,m01_2020_country_nested_3
app_agg_auxiliary_tables_prod,m01_2020_nested_metrics
app_agg_auxiliary_tables_prod,m01_2021_country_nested_1
app_agg_auxiliary_tables_prod,m01_2021_country_nested_2
app_agg_auxiliary_tables_prod,m01_2021_country_nested_3
app_agg_auxiliary_tables_prod,m01_2021_nested_metrics
app_agg_auxiliary_tables_prod,m01_2022_country_nested_1
app_agg_auxiliary_tables_prod,m01_2022_country_nested_2
app_agg_auxiliary_tables_prod,m01_2022_country_nested_3
app_agg_auxiliary_tables_prod,m01_2022_nested_metrics
app_agg_auxiliary_tables_prod,m02_2017_country_nested_1
app_agg_auxiliary_tables_prod,m02_2017_country_nested_2
app_agg_auxiliary_tables_prod,m02_2017_country_nested_3
app_agg_auxiliary_tables_prod,m02_2017_nested_metrics
app_agg_auxiliary_tables_prod,m02_2018_country_nested_1
app_agg_auxiliary_tables_prod,m02_2018_country_nested_2
app_agg_auxiliary_tables_prod,m02_2018_country_nested_3
app_agg_auxiliary_tables_prod,m02_2018_nested_metrics
app_agg_auxiliary_tables_prod,m02_2019_country_nested_1
app_agg_auxiliary_tables_prod,m02_2019_country_nested_2
app_agg_auxiliary_tables_prod,m02_2019_country_nested_3
app_agg_auxiliary_tables_prod,m02_2019_nested_metrics
app_agg_auxiliary_tables_prod,m02_2020_country_nested_1
app_agg_auxiliary_tables_prod,m02_2020_country_nested_2
